iter	Passed	Remaining
0	1	1616
1	4	2253
2	6	2167
3	8	2074
4	9	1989
5	12	2058
6	13	1964
7	15	1885
8	16	1846
9	20	2036
10	22	1986
11	23	1941
12	25	1908
13	27	1909
14	28	1882
15	30	1853
16	31	1828
17	34	1861
18	35	1844
19	37	1818
20	38	1797
21	39	1776
22	41	1769
23	43	1749
24	44	1734
25	46	1730
26	49	1772
27	50	1761
28	52	1744
29	53	1728
30	55	1723
31	56	1710
32	58	1699
33	59	1687
34	60	1676
35	62	1677
36	64	1681
37	66	1673
38	67	1664
39	69	1657
40	70	1652
41	72	1643
42	73	1633
43	74	1624
44	76	1616
45	77	1612
46	79	1614
47	80	1606
48	82	1598
49	83	1591
50	85	1584
51	86	1577
52	87	1570
53	89	1565
54	90	1559
55	92	1553
56	93	1549
57	95	1543
58	96	1538
59	97	1532
60	99	1527
61	100	1522
62	102	1517
63	103	1512
64	104	1507
65	106	1502
66	107	1500
67	108	1487
68	109	1483
69	111	1479
70	112	1475
71	114	1471
72	115	1467
73	116	1463
74	118	1459
75	119	1454
76	121	1450
77	122	1447
78	123	1443
79	125	1445
80	127	1443
81	128	1439
82	129	1435
83	131	1432
84	132	1423
85	133	1420
86	134	1411
87	135	1408
88	137	1407
89	139	1405
90	140	1401
91	141	1398
92	143	1395
93	144	1393
94	145	1390
95	147	1387
96	148	1384
97	150	1381
98	151	1378
99	152	1376
100	154	1373
101	155	1365
102	156	1362
103	157	1358
104	159	1355
105	160	1353
106	161	1350
107	163	1347
108	164	1345
109	166	1343
110	167	1342
111	169	1340
112	170	1338
113	171	1335
114	173	1332
115	174	1327
116	175	1325
117	177	1323
118	178	1319
119	179	1317
120	180	1314
121	182	1313
122	183	1306
123	184	1304
124	185	1301
125	187	1299
126	188	1298
127	189	1294
128	191	1291
129	192	1289
130	194	1288
131	195	1285
132	196	1283
133	198	1281
134	199	1279
135	201	1277
136	202	1275
137	203	1272
138	205	1270
139	206	1268
140	207	1266
141	209	1264
142	210	1262
143	212	1260
144	213	1258
145	214	1256
146	216	1254
147	217	1253
148	219	1251
149	220	1249
150	221	1247
151	223	1246
152	225	1245
153	226	1244
154	227	1242
155	229	1240
156	230	1238
157	232	1236
158	233	1234
159	234	1232
160	236	1230
161	237	1229
162	239	1228
163	240	1226
164	242	1225
165	243	1223
166	244	1221
167	246	1219
168	247	1217
169	248	1215
170	250	1213
171	251	1211
172	253	1210
173	254	1208
174	255	1206
175	257	1204
176	258	1203
177	260	1201
178	261	1199
179	262	1197
180	263	1192
181	264	1190
182	266	1188
183	267	1187
184	269	1185
185	270	1184
186	271	1182
187	273	1180
188	274	1178
189	276	1177
190	277	1175
191	278	1173
192	280	1171
193	281	1170
194	283	1169
195	284	1167
196	285	1165
197	287	1163
198	288	1162
199	290	1160
200	291	1158
201	292	1156
202	294	1154
203	295	1152
204	296	1151
205	298	1149
206	299	1147
207	301	1146
208	302	1144
209	303	1143
210	305	1141
211	306	1139
212	308	1138
213	309	1136
214	310	1135
215	312	1133
216	313	1131
217	315	1130
218	316	1128
219	317	1126
220	319	1125
221	320	1123
222	321	1121
223	323	1119
224	324	1118
225	325	1116
226	327	1114
227	328	1112
228	329	1110
229	331	1109
230	332	1108
231	334	1106
232	335	1104
233	336	1103
234	338	1101
235	339	1100
236	341	1099
237	342	1097
238	344	1096
239	345	1094
240	346	1092
241	348	1091
242	349	1089
243	351	1087
244	352	1086
245	354	1087
246	356	1087
247	358	1088
248	360	1087
249	362	1086
250	364	1086
251	365	1085
252	367	1084
253	368	1082
254	369	1080
255	371	1079
256	372	1077
257	374	1075
258	375	1074
259	376	1072
